time,scid,pkt_num,active_num,conn_type,pns,send_time
480329,50ce57750bb9ee64ec1ff7b4,36,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249528629
481496,50ce57750bb9ee64ec1ff7b4,37,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249529864
482717,50ce57750bb9ee64ec1ff7b4,38,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249531063
485003,50ce57750bb9ee64ec1ff7b4,39,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249533356
486171,50ce57750bb9ee64ec1ff7b4,40,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249534538
487350,50ce57750bb9ee64ec1ff7b4,41,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249535721
489630,50ce57750bb9ee64ec1ff7b4,42,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249537976
490818,50ce57750bb9ee64ec1ff7b4,43,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249539180
492010,50ce57750bb9ee64ec1ff7b4,44,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249540368
494265,50ce57750bb9ee64ec1ff7b4,45,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249542627
495431,50ce57750bb9ee64ec1ff7b4,46,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249543809
496606,50ce57750bb9ee64ec1ff7b4,47,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249544962
498827,50ce57750bb9ee64ec1ff7b4,48,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249547207
499969,50ce57750bb9ee64ec1ff7b4,49,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249548356
501113,50ce57750bb9ee64ec1ff7b4,50,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249549496
503328,50ce57750bb9ee64ec1ff7b4,51,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249551703
504460,50ce57750bb9ee64ec1ff7b4,52,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249552853
505593,50ce57750bb9ee64ec1ff7b4,53,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249553982
507821,50ce57750bb9ee64ec1ff7b4,54,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249556182
549468,50ce57750bb9ee64ec1ff7b4,55,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249497277
549488,50ce57750bb9ee64ec1ff7b4,56,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249497277
549518,50ce57750bb9ee64ec1ff7b4,57,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249597858
549556,50ce57750bb9ee64ec1ff7b4,58,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249597973
564726,50ce57750bb9ee64ec1ff7b4,59,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249613099
564741,50ce57750bb9ee64ec1ff7b4,60,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249613099
564750,50ce57750bb9ee64ec1ff7b4,61,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249613099
564761,50ce57750bb9ee64ec1ff7b4,62,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249613099
564773,50ce57750bb9ee64ec1ff7b4,63,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249613099
565899,50ce57750bb9ee64ec1ff7b4,64,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249497277
565952,50ce57750bb9ee64ec1ff7b4,65,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249614354
565961,50ce57750bb9ee64ec1ff7b4,66,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249614354
565969,50ce57750bb9ee64ec1ff7b4,67,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249614354
565979,50ce57750bb9ee64ec1ff7b4,68,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249614354
565989,50ce57750bb9ee64ec1ff7b4,69,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249614354
566000,50ce57750bb9ee64ec1ff7b4,70,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249614354
566010,50ce57750bb9ee64ec1ff7b4,71,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249614354
567139,50ce57750bb9ee64ec1ff7b4,72,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249615536
590717,50ce57750bb9ee64ec1ff7b4,73,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249497465
593204,50ce57750bb9ee64ec1ff7b4,74,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249497465
594474,50ce57750bb9ee64ec1ff7b4,75,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249511869
594485,50ce57750bb9ee64ec1ff7b4,76,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249511869
594521,50ce57750bb9ee64ec1ff7b4,77,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249511869
596918,50ce57750bb9ee64ec1ff7b4,78,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249645320
599164,50ce57750bb9ee64ec1ff7b4,79,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249647552
599181,50ce57750bb9ee64ec1ff7b4,80,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249647552
601336,50ce57750bb9ee64ec1ff7b4,81,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249649730
604119,50ce57750bb9ee64ec1ff7b4,82,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249652483
604155,50ce57750bb9ee64ec1ff7b4,83,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249652483
608154,50ce57750bb9ee64ec1ff7b4,84,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249656519
618521,50ce57750bb9ee64ec1ff7b4,85,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249511869
652772,50ce57750bb9ee64ec1ff7b4,86,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249701154
652790,50ce57750bb9ee64ec1ff7b4,87,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249701154
665172,50ce57750bb9ee64ec1ff7b4,88,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249713534
665185,50ce57750bb9ee64ec1ff7b4,89,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249713534
665203,50ce57750bb9ee64ec1ff7b4,90,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249713534
665213,50ce57750bb9ee64ec1ff7b4,91,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249713534
666461,50ce57750bb9ee64ec1ff7b4,92,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249714861
666477,50ce57750bb9ee64ec1ff7b4,93,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249714861
666487,50ce57750bb9ee64ec1ff7b4,94,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249714861
668082,50ce57750bb9ee64ec1ff7b4,95,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249716489
668098,50ce57750bb9ee64ec1ff7b4,96,1,XQC_CONN_TYPE_SERVER,XQC_PNS_APP_DATA,1732447249716489
